"program_key","primary_school","difficulty_level","duration","program_title","generic_program_title","part_title","generic_part_title","part_summary","lesson_title","generic_lesson_title","lesson_summary","locale"
"cd13678","Programming and Development","Advanced","","Introduction to Rust","Introduction to Rust","Introduction to Rust","Introduction to Rust","In this course, you'll learn Rust from the ground up, equipping you with the skills to build efficient and scalable Rust applications.","Rust Ownership, Borrowing, and Lifetimes","Mastering Rust's ownership and borrowing system for effective memory management","Master Rust's Ownership Model through understanding borrow checker, mutability, scopes, and lifetimes with supportive exercises and a quiz.","en-us"
"nd213","Programming and Development","Intermediate","4 Months","C++","C++","Concurrency","Concurrency","","Passing Data Between Threads","Passing Data Between Threads","Learn to use promises and futures to create safe communication between threads. Also learn about tasks as an alternative to threads. Finally, understand data races and how to avoid them.","en-us"
"cd1756","Cloud Computing","Intermediate","","Azure Applications","Azure Applications","Azure Applications","Azure Applications","In this course, you will learn the basics of deploying an application to Azure. Understand the benefits and costs of cloud deployments, different types of service models, and how to navigate the Microsoft Azure platform. Distinguish two types of compute services in Azure, virtual machines and app services, when to use each, and how to deploy applications onto the related service. Connect two useful types of cloud storage to a cloud application: Azure SQL databases and blob containers. Differentiate between the different security options available in Azure, and how to implement Microsoft’s OAuth 2.0 capabilities with Azure Active Directory, along with useful monitoring and logging tools in the cloud.","Getting Started - Azure Setup","Getting Started - Azure Setup","Instructions to set up an Azure Account for this program","en-us"
"cd0232","Data Science","Beginner","","Dashboard Design","Dashboard Design","Dashboard Design","Dashboard Design","In this course, you’ll learn the process of designing and creating dashboards within an enterprise environment. You’ll learn to discover user needs, identify key metrics, and tailor your dashboard to a particular audience. You’ll learn to use design elements to maximize the effectiveness of the dashboard and how to iterate based on user feedback.","Design a Data Dashboard Final Project","Design a Data Dashboard Final Project","In this final project, students complete the dashboard they designed in the mid-point. They will add color, annotations, interactivity and make it production ready.","en-us"
"nd698","Cybersecurity","Intermediate","4 Months","Security Engineer","Security Engineer","Congratulations!","Congratulations!","Congratulations on finishing your program!","Congratulations!","Congratulations!","Congratulations on your graduation from this program! Please join us in celebrating your accomplishments.","en-us"
"cd0024","Data Science","Beginner","35 Hours","Introduction to Python","Introduction to Python","Introduction to Python","Introduction to Python","Learn Python programming fundamentals such as data types and structures, variables, loops, and functions.","Explore US Bikeshare Data","Explore US Bikeshare Data","Use Python to understand U.S. bikeshare data.  Calculate statistics and build an interactive environment where a user chooses the data and filter for a dataset to analyze.","en-us"
"nd0013","Autonomous Systems","Advanced","5 Months","Self Driving Car Engineer","Self-Driving Car Engineer","Computer Vision","Computer Vision","In this course, you will develop critical Machine Learning skills that are commonly leveraged in autonomous vehicle engineering. You will learn about the life cycle of a Machine Learning project, from framing the problem and choosing metrics to training and improving models. This course will focus on the camera sensor and you will learn how to process raw digital images before feeding them into different algorithms, such as neural networks. You will build convolutional neural networks using TensorFlow and learn how to classify and detect objects in images. With this course, you will be exposed to the whole Machine Learning workflow and get a good understanding of the work of a Machine Learning Engineer and how it translates to the autonomous vehicle context.","Introduction to Deep Learning for Computer Vision","Introduction to Deep Learning for Computer Vision","Dive into Deep Learning for Computer Vision, learning about its use cases, history, and what you’ll build by the end of the course.","en-us"
"cd0353","Cloud Computing","Intermediate","","Full Stack Apps on AWS","Full Stack Apps on AWS","Full Stack Apps on AWS","Full Stack Apps on AWS","Explore the foundational concepts of designing and deploying scalable, extendable, and maintainable full-stack applications using modern cloud architecture.","User Authentication and Security","User Authentication and Security","Cloud systems come with a new set of challenges to only allow authorized users access to sensitive information. Learn common mistakes and modern techniques for dealing with security.
","en-us"
"nd0277","Data Science","Advanced","4 Months","Data Engineering with Microsoft Azure","Data Engineering with Microsoft Azure","Cloud Data Warehouses with Azure","Cloud Data Warehouses with Azure","In this course, you will learn to create cloud-based data warehouses and sharpen your data warehousing skills, deepen your knowledge of data infrastructure, and be introduced to data engineering on the cloud using Azure.","Introduction to Cloud Data Warehouses with Azure","Introduction to Cloud Data Warehouses with Azure","In this lesson, you'll learn about the course, including the prerequisites, tools, environment, and course project.","en-us"
"cd5230","Business","Fluency","","Digital Marketing Fluency","Digital Marketing Fluency","Digital Marketing Fluency","Digital Marketing Fluency","Becoming a digital marketer is a journey - let us be your guide. In this course, we give you a framework to help you organize and plan your approach.","What: Your Business","What: Your Business","The journey begins with understanding the “what” you are marketing. Learn how to articulate a business model in a concise targeted way. 
","en-us"
"nd003","Programming and Development","Intermediate","6 Months","iOS Development with SwiftUI and SwiftData","iOS Developer","Welcome to the Nanodegree Program!","Welcome to the Nanodegree Program!","Welcome to Udacity! We're excited to share more about your Nanodegree program and start this journey with you!","Getting Help","Getting Help","You are starting a challenging but rewarding journey! Take 5 minutes to read how to get help with projects and content.","en-us"
"cd13281","Programming and Development","Beginner","","Blockchain Fundamentals","Blockchain Developer C1","Blockchain Fundamentals","Blockchain Developer C1","This course introduces the fundamental concepts behind Blockchain technology and explores some applications of the technology for you to expand upon. You will learn about Blockchain’s predecessors, the block structure, and how Blockchain networks share information, reach consensus and use wallets. You will be equipped with the skills to identify and implement use cases for Blockchain and communicate with stakeholders to drive forward goals with Blockchain.","Project: Blockchain Use Case Evaluation","Project: Blockchain Use Case Evaluation","In this project, you will explore a blockchain use case of your choice, propose solutions with diagrams, and tackle challenges. You will create a presentation and deliver it via a video.","en-us"
"cs212","Programming and Development","","2 Months","Design of Computer Programs","Design of Computer Programs","Design of Computer Programs","Design of Computer Programs","","Problem Set 1","Problem Set 1","","en-us"
"ud210","Programming and Development","","3 Weeks","C++ For Programmers","C++ For Programmers","C++ For Programmers","C++ For Programmers","","Vectors and Iterators","Vectors and Iterators","Vectors are way better than arrays.  Vectors and their iterators are covered in this lesson. 
","en-us"
"cd1756","Cloud Computing","Intermediate","","Azure Applications","Azure Applications","Azure Applications","Azure Applications","In this course, you will learn the basics of deploying an application to Azure. Understand the benefits and costs of cloud deployments, different types of service models, and how to navigate the Microsoft Azure platform. Distinguish two types of compute services in Azure, virtual machines and app services, when to use each, and how to deploy applications onto the related service. Connect two useful types of cloud storage to a cloud application: Azure SQL databases and blob containers. Differentiate between the different security options available in Azure, and how to implement Microsoft’s OAuth 2.0 capabilities with Azure Active Directory, along with useful monitoring and logging tools in the cloud.","Azure Storage","Azure Storage","Storage costs can quickly grow when hosting data on premises. Dive into the various storage options available through Azure here.","en-us"
"cd0690","Business","Beginner","","Marketing Fundamentals","Course 1: Marketing Fundamentals","Marketing Fundamentals","Course 1: Marketing Fundamentals","This course covers the fundamentals of digital marketing, including the what, why, where, when, and how of marketing your business to the appropriate audience.","Marketing Channels","Marketing Channels","There are many different ways to reach your customer at different stages in their journey, with an increasing number of marketing channels from which to choose.  
","en-us"
"cs212","Programming and Development","","2 Months","Design of Computer Programs","Design of Computer Programs","Design of Computer Programs","Design of Computer Programs","","Lesson 4","Lesson 4","","en-us"
"cd11532","Data Science","Intermediate","","Data Pipelines with Azure","Data Pipelines with Azure","Data Pipelines with Azure","Data Pipelines with Azure","In this course, you’ll learn to build, orchestrate, automate and monitor data pipelines in Azure using Azure Data Factory and pipelines in Azure Synapse Analytics. You’ll build, trigger, and monitor data pipelines on the Azure platform for analytical workloads and run data transformations, optimize data flows, and work with data pipelines in production.","Data Integration Pipelines for NYC Payroll Data Analytics","Data Integration Pipelines for NYC Payroll Data Analytics","In this project, you'll build data pipelines for an analytics platform for the City of New York.","en-us"
"nd001-embsys","Autonomous Systems","Beginner","","Connecting to Hardware","Connecting to Hardware","Embedded Systems Design and Debugging","DECI Level 3 Embedded Systems Term 2 Month 3","This course will cover processing that is triggered by interrupts, as well as the basics of how to design and debug an embedded system. You will finish with a project to create an embedded voltmeter.","Embedded System Design","Embedded System Design","Good design always precedes good implementation. In this lesson some fundamental guidelines of design will be discussed and applied to system and subsystem design.","en-us"
"nd898","Artificial Intelligence","Advanced","3 Months","Artificial Intelligence","Artificial Intelligence","Optimization Problems","(Optional) Optimization Problems","Learn about iterative improvement optimization problems and classical algorithms emphasizing gradient-free methods for solving them. These techniques can often be used on intractable problems to find solutions that are ""good enough"" for practical purposes, and have been used extensively in fields like Operations Research & logistics. Finish the lessons by completing a classroom exercise comparing the different algorithms' performance on a variety of problems.","Hill Climbing","Hill Climbing","Thad introduces _Hill Climbing_, a very simple local search optimization technique that works well on many iterative improvement problems.","en-us"
"nd230","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with TensorFlow","Intro to Machine Learning with TensorFlow","Additional Material: Statistics for Data Analysis","Additional Material: Statistics for Data Analysis","","Hypothesis Testing","Contrastes de hipótesis","Learn the necessary skills to create and analyze the results in hypothesis testing.","en-us"
"nd003-digitalarts","Business","Beginner","6 Months","2D Game Design and Development with Unity","iOS Developer","Designing Game User Interfaces","DECI Level 4 Digital Arts Term 2 Month 3","In this course, dive into game audio, user interface design, and the final stages of testing, optimizing, and publishing. Learn to enhance games with immersive audio, create adaptable UIs, and refine your project for publication, ensuring a polished gaming experience. Here, you will also create a simple, complete 2D platformer game.","Game User Interfaces","Game User Interfaces","Focus on Unity UI for 2D games. Create elements, add text, and implement HUDs. Design flexible interfaces for multiple screen dimensions and aspect ratios.","en-us"
"nd081","Cloud Computing","Intermediate","4 Months","Cloud Developer using Microsoft Azure","Cloud Developer using Microsoft Azure","Azure Applications","Azure Applications","In this course, you will learn the basics of deploying an application to Azure. Understand the benefits and costs of cloud deployments, different types of service models, and how to navigate the Microsoft Azure platform. Distinguish two types of compute services in Azure, virtual machines and app services, when to use each, and how to deploy applications onto the related service. Connect two useful types of cloud storage to a cloud application: Azure SQL databases and blob containers. Differentiate between the different security options available in Azure, and how to implement Microsoft’s OAuth 2.0 capabilities with Azure Active Directory, along with useful monitoring and logging tools in the cloud.","Security and Monitoring Basics","Security and Monitoring Basics","Moving applications to the cloud doesn’t remove the need to build security and monitoring into the app and its services. Find out how to integrate these with Azure!","en-us"
"ud256","Programming and Development","","2 Weeks","Networking for Web Developers","Networking for Web Developers","Networking for Web Developers","Networking for Web Developers","","From Ping to HTTP","From Ping to HTTP","Start exploring the network using low-level command-line tools such as ping and netcat.","en-us"
"nd0821","Artificial Intelligence","Advanced","4 Months","Machine Learning DevOps Engineer","Machine Learning DevOps Engineer","Building a Reproducible Model Workflow","Building a Reproducible Model Workflow","This course empowers the students to be more efficient, effective, and productive in modern, real-world ML projects by adopting best practices around reproducible workflows. In particular, it teaches the fundamentals of MLops and how to: a) create a clean, organized, reproducible, end-to-end machine learning pipeline from scratch using MLflow b) clean and validate the data using pytest c) track experiments, code, and results using GitHub and Weights & Biases d) select the best-performing model for production and e) deploy a model using MLflow. Along the way, it also touches on other technologies like Kubernetes, Kubeflow, and Great Expectations and how they relate to the content of the class.","Data Exploration and Preparation","Data Exploration and Preparation","Come up with re-usable processes for performing exploratory data analysis (EDA), cleaning and pre-processing data, and segregating/splitting data.","en-us"
"nd229","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with Pytorch","Intro to Machine Learning with PyTorch","Unsupervised Learning","Unsupervised Learning","In this course, you'll learn how to apply unsupervised learning to solve real-world problems.","Gaussian Mixture Models and Cluster Validation","Gaussian Mixture Models and Cluster Validation","In this lesson, we discuss Gaussian mixture model clustering. We then talk about the cluster analysis process and how to validate clustering results.","en-us"
"nd230","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with TensorFlow","Intro to Machine Learning with TensorFlow","Congratulations!","Congratulations!","Congratulations on finishing your program!","Congratulations!","Congratulations!","Congratulations on your graduation from this program! Please join us in celebrating your accomplishments.","en-us"
"cd5228","Programming and Development","Fluency","","SQL Fluency","SQL Fluency","SQL Fluency","SQL Fluency","SQL is one of the most versatile tools available for extracting insights from stored data. In this course, you will learn how databases work. You will also learn some basic SQL queries for that can be used to select, manipulate and aggregate data in databases.","Introduction to Relational Databases","Introduction to Relational Databases","Learn the principles behind relational data organization: tables, queries, aggregations, keys, and joins.","en-us"
"cd12441","Data Science","Intermediate","","Spark and Data Lakes","Spark and Data Lakes","Spark and Data Lakes","Spark and Data Lakes","In this course, you will learn about the big data ecosystem and how to use Spark to work with
massive datasets. You’ll also learn about how to store big data in a data lake and query it with Spark.","STEDI Human Balance Analytics","Project: STEDI Human Balance Analytics","In this project, you'll work with sensor data that trains a machine learning model. You'll load S3 JSON data from a data lake into Athena tables using Spark and AWS Glue.","en-us"
"nd9990","Cloud Computing","Intermediate","4 Months","Cloud Developer","Cloud Developer","Full Stack Apps on AWS","Full Stack Apps on AWS","Explore the foundational concepts of designing and deploying scalable, extendable, and maintainable full-stack applications using modern cloud architecture.","AWS Frontend Development","AWS Frontend Development","Build a React app that communicates with a backend service and deploy it to Elastic Beanstalk. Use Axios for HTTP requests, handle user authentication, fetch data, and manage app state.","en-us"
"nd089","Artificial Intelligence","Beginner","3 Months","AI Programming with Python","AI Programming with Python","Linear Algebra Essentials","Linear Algebra Essentials","Learn the basics of the beautiful world of Linear Algebra and
why it is such an important mathematical tool in the world of AI.","Vectors Lab","Vectors Lab","Learn how to graph 2D vectors.","en-us"
"ud120","Artificial Intelligence","Intermediate","10 Weeks","Intro to Machine Learning","Intro to Machine Learning","Intro to Machine Learning","Intro to Machine Learning","","Welcome to Machine Learning","Welcome to Machine Learning","Meet with Sebastian and Katie to discuss machine learning.","en-us"
"ud980","Data Science","","3 Weeks","Time Series Forecasting","Time Series Forecasting","Time Series Forecasting","Time Series Forecasting","","ARIMA Models","ARIMA Models","In this lesson you’ll learn how to build and use ARIMA models. ARIMA stands for autoregressive, integrated, moving average, which are the inputs for ARIMA models. You’ll learn how to stationarize data through differencing, a process that prepares data for ARIMA modeling. You’ll learn the different techniques used in seasonal vs. non-seasonal data. Then you’ll get hands on practice building out an ARIMA model in Alteryx.","en-us"
"cd0377","Artificial Intelligence","Advanced","","Introduction to Natural Language Processing","Introduction to Natural Language Processing","Introduction to Natural Language Processing","Introduction to Natural Language Processing","This section provides an overview of the program and introduces the fundamentals of Natural Language Processing through symbolic manipulation, including text cleaning, normalization, and tokenization. You'll then build a part of speech tagger using hidden Markov models.","Spam Classifier with Naive Bayes","Naive Bayes","In this section, you'll learn how to build a spam email classifier using the naive Bayes algorithm.","en-us"
"cd13641","Artificial Intelligence","Intermediate","","Evaluating Returns and Backtesting","Evaluating Returns and Backtesting","Evaluating Returns and Backtesting","Evaluating Returns and Backtesting","This course will advance learners' abilities to construct and backtest strategies. The curriculum emphasizes a deep understanding of key performance metrics—such as annualized returns, volatility, and various risk-adjusted ratios—to critically evaluate the effectiveness of trading strategies. Additionally, learners will enhance their skills in visualizing strategy performance through advanced graphical representations. By mastering the implementation and rigorous evaluation of trading models, students will be well-equipped to optimize strategies and ensure robust performance in the  world of capital markets.","Measuring Risks","Measuring Risks","Understand volatility, skewness, kurtosis, and the impacts that these concepts have on developing a trading strategy.","en-us"
"cd0359","Artificial Intelligence","Advanced","","Object Tracking and Localization","Object Tracking Localization","Object Tracking and Localization","Object Tracking Localization","Learn how to locate an object and track it over time. These techniques are used in a variety of moving systems, such as self-driving car navigation and drone flight.","Project: Landmark Detection & Tracking","Project: Landmark Detection & Tracking","Implement SLAM, a robust method for tracking an object over time and mapping out its surrounding environment, using elements of probability, motion models, and linear algebra.","en-us"
"nd0035","Cybersecurity","Intermediate","4 Months","Enterprise Security","Enterprise Security","Enterprise-Wide Application Security","Enterprise-Wide Application Security","Application security is a critical part of any enterprise security plan. We will be cover how to perform a threat assessment by doing threat modeling and pen testing. This course will teach mitigation and defensive strategies in an application software development lifecycle. The focus will be on covering how enterprises bake security into their lifecycle by shifting security left and the different ways they enhance their security posture across on-premise, cloud, containers, and APIs.","Container Vulnerabilities","Container Vulnerabilities","In this lesson, you will scan containers, research container vulnerabilities, and mitigate container vulnerabilities, so that you can better handle the actual deployment and cloud infrastructure.","en-us"
"cd0034","Data Science","Advanced","","Big Data Systems","Big Data Systems","Big Data Systems","Big Data Systems","There are 2 main roles in the Big Data industry: Big Data Engineer and Big Data Architect. We will focus on the Architect role. We will look at the characteristics of Big Data, its business value, and how companies are using Big Data today. We study the most popular storage and processing frameworks.....aka...Big Data ecosystem components. We will dive deep into NoSQL,  how it differs from traditional relational databases, how to model, and what the tool interface looks like. Finally, we will talk about the benefits, challenges, design patterns of Data Lake technology. Your final project is based on a real-world scenario that will require you to think like an architect and build an end-to-end data lake system proposal.","Scalable Data Lake Architecture","Scalable Data Lake Architecture","In this lesson, we will see what a Data Lake storage implementation of Big Data looks like. In addition to the benefits, we will see what considerations, risks, and challenges organizations face.","en-us"
"cd12641","Data Science","Intermediate","","Linear and Logistic Regression","Algorithms","Linear and Logistic Regression","Algorithms","The linear and logistic regression course offers a detailed introduction to fundamental statistical and machine learning algorithms, particularly focusing on regression techniques. The course begins with simple linear regression and progresses to multiple linear regression, equipping students with the ability to analyze relationships between multiple variables. Finally, it covers logistic regression, a powerful tool for classification problems.","Model Salary Data with Linear Regression","Model Salary Data with Linear Regression","In this project, you will build a linear model and interpret the results of the model. Specifically, you will look at what variables are related to salaries.","en-us"
"ud407","Programming and Development","","3 Weeks","Engagement & Monetization | Mobile Games","Engagement & Monetization | Mobile Games","Engagement & Monetization | Mobile Games","Engagement & Monetization | Mobile Games","","Monetization Models","Monetization Models","Discuss monetization strategies for both premium games and free-to-download “freemium” games.","en-us"
"nd073","Artificial Intelligence","Advanced","3 Months","AI Engineer using Microsoft Azure","AI Engineer using Microsoft Azure","Building NLP and Conversational AI Solutions with Azure","Building NLP and Conversational AI Solutions with Azure","In this course, you'll design and build bot solutions on the Azure platform using the Microsoft Bot Framework, language understanding models with the LUIS service, knowledge bases with the Azure QnA service, and integrate Azure Cognitive Text Analytics and speech services.","NLP Cognitive Services","NLP Cognitive Services","In this lesson, you'll learn about two Azure NLP Cognitive Services, QnA Maker and LUIS, and integrate them into bot applications to recognize user intent.","en-us"
"nd229","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with Pytorch","Intro to Machine Learning with PyTorch","Additional Material: Statistics for Data Analysis","Additional Material: Statistics for Data Analysis","","Conditional Probability","Conditional Probability","Not all events are independent.  Learn the probability rules for dependent events.","en-us"
"nd090","Cloud Computing","Advanced","3 Months","Cloud Architect using Microsoft Azure","Cloud Architect using Microsoft Azure","Azure Cloud Security","Azure Cloud Security","In this course, we will explore IAM to help protect organizations against breaches and achieve compliance. We'll see how AD Connect lets you sync and manage cloud and on-premises identities. Always use Least Privilege to control access by leveraging conditional access and MFA. We will see how infrastructure and network design can use the Zero Trust model through tools such as Firewalls, Azure Bastion, and Just in Time.  Learn what steps to take to secure data with secured keys. We will dive deep into Security Center to detect and fix top layer security vulnerabilities. Then we will dive deep into the SOAR and SIEM capabilities of Sentinel to identify deep threat detection and protection tool.","Secure the Enterprise","Secure the Enterprise","You are an Azure Cloud Architect for a business with a growing online presence and a desire to utilize the cloud for your IT enterprise. You have been asked to do ensure security for this transition.","en-us"
"nd082","Cloud Computing","Intermediate","3 Months","Cloud DevOps using Microsoft Azure","Cloud DevOps using Microsoft Azure","Next Steps - Cloud DevOps using Microsoft Azure","Next Steps - Cloud DevOps using Microsoft Azure","In this part, you'll find info about registering for an AZ-400 Certification exam.","Next Steps","Next Steps","In this lesson, you'll find info about registering for an AZ-400 Certification exam.","en-us"
"nd0013","Autonomous Systems","Advanced","5 Months","Self Driving Car Engineer","Self-Driving Car Engineer","Additional Content: Functional Safety","Additional Content: Functional Safety","Find additional content around the field of functional safety for autonomous vehicles and a high level overview of ISO 26262.","Functional Safety: Hazard Analysis and Risk Assessment","Functional Safety: Hazard Analysis and Risk Assessment","In a hazard analysis and risk assessment, you will identify vehicular malfunctions and evaluate their risk levels. You can then derive safety goals defining how your vehicle will remain safe.","en-us"
"nd0013","Autonomous Systems","Advanced","5 Months","Self Driving Car Engineer","Self-Driving Car Engineer","Congratulations!","Congratulations!","Congratulations on making it through the program!","Congratulations!","Congratulations!","","en-us"
"nd104","Data Science","Beginner","3 Months","Programming for Data Science with Python","Programming for Data Science with Python","Introduction to HTML and CSS","Introduction to HTML and CSS","Introduction to HTML and CSS syntax with problem sets.","HTML Syntax Problem Set","HTML Syntax Problem Set","Get practice creating HTML documents and writing tags with this collection of fun challenges.","en-us"
"ud507","Artificial Intelligence","","7 Weeks","Data Visualization and D3.js","Data Visualization and D3.js","Data Visualization and D3.js","Data Visualization and D3.js","","Visualization Fundamentals","Visualization Fundamentals","Discover exploratory and explanatory data visualizations, identify data types and learn effective ways to encode your data.","en-us"
"cd0282","Programming and Development","Intermediate","","Java Fundamentals","Java Fundamentals","Java Fundamentals","Java Fundamentals","In order to be a great Java developer you must first learn the fundamentals of Java. This course introduces the fundamental concepts and practices of Java programming. These include basic Object-oriented Programming (OOP) concepts such as classes, encapsulation and inheritance, as well as core Java concepts such as collections, exceptions and commonly used Java types.","Generics and Collections","Generics and Collections","Working with multiple types can introduce some challenges. In this lesson we'll learn how two tools—generics and collections—can help us address these challenges and make our code type safe.","en-us"
"ud282","Programming and Development","","6 Weeks","Intro to Java: Functional Programming","Intro to Java: Functional Programming","Intro to Java: Functional Programming","Intro to Java: Functional Programming","","IntelliJ and Debugging","IntelliJ and Debugging","Prepare for your next project by installing Java and IntelliJ, debugging your code, and applying the skills learned in previous lessons.","en-us"
"nd229","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with Pytorch","Intro to Machine Learning with PyTorch","Additional Material: Python for Data Visualization","Additional Material: Python for Data Visualization","","Explanatory Visualizations","Explanatory Visualizations","Previous lessons covered how you could use visualizations to learn about your data. In this lesson, see how to polish up those plots to convey your findings to others!","en-us"
"cd12639","Data Science","Beginner","","Probability","Probability","Probability","Probability","This course is a comprehensive dive into the fundamental concepts and principles of probability. You’ll begin with basic probability theory, then progress to more complex topics such as binomial distributions, conditional probability, and Bayes’ Rule. These skills will enhance your ability to reason about uncertainty and make claims using data.","Conditional Probability","Conditional Probability","Not all events are independent.  In this lesson, you'll learn the probability rules for dependent events.","en-us"
"nd113","Autonomous Systems","Intermediate","4 Months","Introduction to Self-Driving Cars","Intro to Self-Driving Cars","Performance Programming in C++","Performance Programming in C++","Explore how to write good code that runs correctly. We’ll focus primarily on low level features of C++, but we’ll discuss other best practices as well.","C++ Intro to Optimization","C++ Intro to Optimization","Optimizing C++ involves understanding how a computer actually runs your programs. You'll learn how C++ uses the CPU and RAM to execute your code and get a sense for what can slow things down.","en-us"
"ud9011","Programming and Development","","2 Weeks","Kotlin Bootcamp for Programmers","Kotlin Bootcamp for Programmers","Kotlin Bootcamp for Programmers","Kotlin Bootcamp for Programmers","","Introduction","Introduction","Set up IntelliJ, the IDE that we will use in this course, and understand the major benefits of learning and using Kotlin.
","en-us"
"ud518","Product Management","","1 Months","App Monetization","App Monetization","App Monetization","App Monetization","","Monetization Strategies","Monetization Strategies","Dive deeper into the different app monetization strategies. Start thinking about which strategy is most appropriate for your app.","en-us"
"st095","Data Science","","4 Months","Statistics","Statistics","Statistics","Statistics","","Problem Set 4: Variability","Problem Set 4: Variability","","en-us"
"cd0027","Product Management","Beginner","20 Hours","Product Design","Product Design","Product Design","Product Design","Once the problem has been defined and a market opportunity has been identified, it is important to create a solution that is desirable by its users. Bring an idea through concept, design, and user validation, as well as creating a spec to hand-off to engineering for development. Use design thinking methodologies to diverge in order to explore ideas, and then ultimately focus in and converge on a single idea. Map out the full concept through the creation of a prototype that can be used to validate that you’re solving a problem for real users.","Phase 2: Define","Phase 2: Define","This lesson covers the second phase of the Design Sprint -- Define. You'll get an overview of this phase and  learn methods to create focus and define outcomes.","en-us"
"nd549","Business","Beginner","","Digital Arts Foundations","Digital Arts Foundations","Composition","Composition","This course focuses on movement and rhythm in compositions, utilizing repetition and rhythm to establish visual flow. By manipulating elements and utilizing Canva's animation tools, we can guide the viewer's eye movement. Visual hierarchy and emphasis are explored, examining their historical use in advertisements and understanding the order of importance in emphasizing focal points. Points of entry and design briefs are analyzed to enhance understanding. Achieving unity in compositions is also covered, including the concept of unity and various approaches to achieve it. The relation between Gestalt groupings and unity is explored, along with an analysis of a design brief.","Introduction to Composition: Movement","Introduction to Composition: Movement","In this lesson, we will explore how movement and rhythm create visual flow in compositions. We will also manipulate elements to guide eye movement and experiment with Canva's animation tools.","en-us"
"nd038","Data Science","Advanced","4 Months","Data Architect","Data Architect","Big Data Systems","Big Data Systems","There are 2 main roles in the Big Data industry: Big Data Engineer and Big Data Architect. We will focus on the Architect role. We will look at the characteristics of Big Data, its business value, and how companies are using Big Data today. We study the most popular storage and processing frameworks.....aka...Big Data ecosystem components. We will dive deep into NoSQL,  how it differs from traditional relational databases, how to model, and what the tool interface looks like. Finally, we will talk about the benefits, challenges, design patterns of Data Lake technology. Your final project is based on a real-world scenario that will require you to think like an architect and build an end-to-end data lake system proposal.","Scalable Data Lake Architecture","Scalable Data Lake Architecture","In this lesson, we will see what a Data Lake storage implementation of Big Data looks like. In addition to the benefits, we will see what considerations, risks, and challenges organizations face.","en-us"
"cd13461","Programming and Development","Beginner","","GitHub Actions","GitHub Actions","GitHub Actions","GitHub Actions","Mastering GitHub Actions is designed to equip learners with practical skills in automating and optimizing software development workflows using GitHub Actions. You'll create custom workflows, including continuous integration (CI) and continuous deployment (CD) processes, and tailor them for real-world applications.","Security and Hardening","Security and Hardening","Explore security and hardening in GitHub, covering token handling, environments, GitHub Pages, the REST API, and CLI with practical exercises.","en-us"
"nd790","Autonomous Systems","Beginner","","Embedded Systems Fundamentals","Embedded Systems Fundamentals","Combination Gates and Multiplexers","Combination Gates and Multiplexers","This course covers how digital signals are processed to create advanced circuits in embedded systems. It includes clocking in digital systems, logic circuits, combined logic gates, and multiplexers. By the end of this lesson, you will be able to create advanced logical circuits that match truth tables using logic gates.","Building a MUX from Gates","Building a MUX from Gates","Expanding on prior mux knowledge, this lesson shows how to create a mux from a truth table, implement it using logic gates, and demonstrates these concepts in simulation environments.","en-us"
"nd189","Artificial Intelligence","Intermediate","5 Months","AWS Machine Learning Engineer Nanodegree","AWS Machine Learning Engineer","Operationalizing Machine Learning on SageMaker","Operationalizing Machine Learning on SageMaker","This course covers advanced topics related to deploying professional machine learning projects on SageMaker. Students will learn how to maximize output while decreasing costs. They will also learn how to deploy projects that can handle high traffic, how to work with especially large datasets, and how to approach security in machine learning AWS applications.","Construct pipelines for high throughput, low latency models","Construct pipelines for high throughput, low latency models","This lesson is about high throughput, low latency models. Essentially, this means that we’ll be talking about preparing your projects to deal with high traffic and minimal time delays.
","en-us"
"nd578","Product Management","Beginner","3 Months","User Experience","UX Designer","Concept to Low-Fidelity Prototyping","Concept to Low-Fidelity Prototyping","The best products have gone through rounds of iteration based on user research and feedback. Learn the process of a design sprint, and how to translate findings from research into a prototype that can be tested with users. Understand how to foster team collaboration and use divergent and convergent thinking to rapidly create testable prototypes. Apply user interface principles in the design of a clickable prototype, and conduct a usability test to gain valuable feedback from users that can be used in design iterations.","Clickable Prototyping","Clickable Prototyping","It's expensive to engineer and implement solutions in code. In this lesson, we'll practice the hard skill of building an interactive prototype that feels like a real piece of software.","en-us"
"cd12033","Data Science","Beginner","","Data Preparation and Modeling","Data Preparation & Modeling","Data Preparation and Modeling","Data Preparation & Modeling","The preparation phase is the most important step in data analysis. An effective data model is required before data can be effectively analyzed, and creating that data model may utilize a wide range of skills. This course teaches the skills to load, clean, and organize data in Power Query and create relational tables in Power Query and Power BI. Completing this course will provide the knowledge to effectively source data in Power BI and create a clean and efficient data model for analysis.","Power Query & M Overview","Power Query & M Overview","Power Query & M Overview lesson highlights the Power Query data wrangling system that is used within Power BI. Specific cleaning and organization tools and techniques are explored.","en-us"
"cs222","Artificial Intelligence","","2 Months","Differential Equations in Action","Differential Equations in Action","Differential Equations in Action","Differential Equations in Action","","Lesson4s - Supplement on Euler's Number","Lesson4s - Supplement on Euler's Number","","en-us"
