"program_key","primary_school","difficulty_level","duration","program_title","generic_program_title","part_title","generic_part_title","part_summary","lesson_title","generic_lesson_title","lesson_summary","locale"
"nd230","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with TensorFlow","Intro to Machine Learning with TensorFlow","Prerequisite: Git & Github","Prerequisite: Git & Github","","Create a Git Repo","Create a Git Repo","Now that you've learned the benefits of Version Control and gotten Git installed, it's time you learn how to create a repository.","en-us"
"nd9991","Cloud Computing","Intermediate","4 Months","Cloud DevOps Engineer","Cloud DevOps Engineer","Build CI/CD Pipelines, Monitoring, and Logging","Build CI/CD Pipelines, Monitoring, and Logging","In this course, you will learn how to stretch for Continuous Delivery as your “true north” while you build CI/CD systems that automate the “stuff” between developers and the cloud. You’ll gain essential knowledge and put it into practice as you learn about Continuous Integration and Continuous Deployment. You’ll combine your existing knowledge of Cloud Formation and AWS with new tools like GitHub Actions.","Enabling Continuous Delivery with Deployment Pipelines","Enabling Continuous Delivery with Deployment Pipelines","In this lesson, we will be hands-on and fully implement CI/CD pipelines that build in complexity using GitHub Actions.","en-us"
"cd0025","Artificial Intelligence","Intermediate","21 Hours","Supervised Learning","Supervised Learning","Supervised Learning","Supervised Learning","In this course, you'll learn about different types of supervised learning and how to use them to solve real-world problems.","Model Evaluation Metrics","Model Evaluation Metrics","Learn the main metrics to evaluate models, such as accuracy, precision, recall, and more!","en-us"
"nd898","Artificial Intelligence","Advanced","3 Months","Artificial Intelligence","Artificial Intelligence","Classical Search","Classical Search","Learn classical graph search algorithms--including uninformed search techniques like breadth-first and depth-first search and informed search with heuristics including A*. These algorithms are at the heart of many classical AI techniques, and have been used for planning, optimization, problem solving, and more. Complete the lesson by teaching PacMan to search with these techniques to solve increasingly complex domains.","Additional Search Topics","Additional Search Topics","References to additional readings on search.","en-us"
"nd000","Programming and Development","Beginner","4 Months","Introduction to Programming","Introduction to Programming","Introduction to Programming with Python II","Intro to Programming with Python II","Continue to advance your skills as a beginning programmer! Python is one of the most versatile and widely used programming languages. In this second-level course, you will build on your understanding of fundamental Python and learn some more advanced skills, including how to work with files on your computer's disk and how to use Object-Oriented Programming (OOP) to create classes, objects, and methods.","Objects and Classes","Objects and Classes","Learn to create new kinds of data object using classes, including creating your own methods.","en-us"
"nd9991","Cloud Computing","Intermediate","4 Months","Cloud DevOps Engineer","Cloud DevOps Engineer","Build CI/CD Pipelines, Monitoring, and Logging","Build CI/CD Pipelines, Monitoring, and Logging","In this course, you will learn how to stretch for Continuous Delivery as your “true north” while you build CI/CD systems that automate the “stuff” between developers and the cloud. You’ll gain essential knowledge and put it into practice as you learn about Continuous Integration and Continuous Deployment. You’ll combine your existing knowledge of Cloud Formation and AWS with new tools like GitHub Actions.","Introduction to CI/CD","Introduction to CI/CD","An introduction to this course, Continuous Integration, and Continuous Deployment!","en-us"
"nd891","Artificial Intelligence","Advanced","3 Months","Computer Vision","Computer Vision","Object Tracking and Localization","Object Tracking Localization","Learn how to locate an object and track it over time. These techniques are used in a variety of moving systems, such as self-driving car navigation and drone flight.","Matrices and Transformation of State","Matrices and Transformation of State","Linear Algebra is a rich branch of math and a useful tool. In this lesson you'll learn about the matrix operations that underly multidimensional Kalman Filters.","en-us"
"nd088","Product Management","Intermediate","2 Months","AI Product Manager","AI Product Manager","Leveraging Data with AI","Leveraging Data with AI","This course is for product managers who want to build AI products. It does not require any prior familiarity with AI. You'll start by learning how AI can be applied, the different types of AI, data needs for AI, and the AI product lifecycle. Then, you'll dive deeper into two types of AI that can leverage existing datasets: personalization and forecasting. You'll learn some technical details about how these models work and how to evaluate them, and practice what you've learned with hands-on exercises. Finally, you'll pull this all together into a project where you'll develop a PRD for an AI-enabled gift recommendation system in an e-commerce setting.","AI Personalization and Unsupervised Machine Learning","AI Personalization and Unsupervised Machine Learning","Learn how techniques such as recommendation engines and clustering algorithms can be used to create personalized product experiences.","en-us"
"cd2073","Programming and Development","Beginner","","Introduction to Javascript","Intro to Javascript","Introduction to Javascript","Intro to Javascript","In this course, you will use learn the basics of JavaScript! You will learn how to create and use the primary data types in JavaScript and how to use conditionals and loops to control the flow of your JavaScript code. You'll write your first JavaScript functions and you'll learn how to use arrays and objects to store collections of data. By the end of the course, you use your new JavaScript knowledge to build the core functionality of an eCommerce shopping cart.","Loops","Basics of Control Flow: Loops","Harness the power of JavaScript loops to reduce code duplication and automate repetitive tasks.","en-us"
"cs259","Programming and Development","","2 Months","Software Debugging","Software Debugging","Software Debugging","Software Debugging","","Final Exam","Final Exam","","en-us"
"cd12640","Data Science","Intermediate","","Hypothesis Testing","Experimentation","Hypothesis Testing","Experimentation","Hypothesis testing is one of the most important topics in all of statistics because it tells us whether our conclusions are statistically significant. In this course, you will learn about the fundamental role statistics plays in hypothesis testing as well as how to implement statistical concepts in Python.","Normal Distribution Theory","Normal Distribution Theory","In this lesson, you'll learn the mathematics behind moving from a coin flip to a normal distribution.","en-us"
"ud099","Artificial Intelligence","","1 Months","AI Fundamentals","AI Fundamentals","AI Fundamentals","AI Fundamentals","","Introduction to AI Fundamentals with Azure","Introduction to AI Fundamentals with Azure","Meet your instructors, get an overview of the course, check out the prerequisites, and get an introduction to the development of AI and ML.","en-us"
"cd13925","Cloud Computing","Intermediate","","Getting Started with Ansible using AWS","Getting Started with Ansible","Getting Started with Ansible using AWS","Getting Started with Ansible","This course, ""Getting Started with Ansible,"" introduces learners to the fundamentals of automating IT tasks using Ansible. Start with the basics, gaining an understanding of Ansible's architecture and simple deployments. Progress through creating roles and templates, optimizing playbooks, and using custom modules and plugins. Explore advanced features and error handling techniques to enhance automation effectiveness. The course culminates in a hands-on project where participants will provision web servers using Ansible, effectively reinforcing learned concepts and preparing for real-world applications.","Advanced Ansible Features and Error Handling","Advanced Ansible Features and Error Handling","Explore Ansible's advanced features like error handling, variable passing, blocks, and tags to enhance automation efficiency and task management. Master these for robust script creation.","en-us"
"cd1908","Cloud Computing","Advanced","","Design for Availability, Reliability, and Resiliency","Design for Availability, Reliability, and Resiliency","Design for Availability, Reliability, and Resiliency","Design for Availability, Reliability, and Resiliency","In this course, you will learn to use AWS to create highly available and resilient systems and networks.","AZs and Regions","AZs and Regions","Overview of AWS Regions and Availability Zones and how they are used to enable high availability and geographic redundancy.","en-us"
"ud162","Business","","1 Months","Intro to Point & Click App Development","Intro to Point & Click App Development","Intro to Point & Click App Development","Intro to Point & Click App Development","","Automating Everything (45 mins)","Automating Everything (45 mins)","","en-us"
"nd209","Autonomous Systems","Advanced","4 Months","Robotics Software Engineer","Robotics Software Engineer","Optional KUKA Path Planning Project","Optional KUKA Path Planning Project","","Project Introduction","Project Introduction","Plan a path through a maze for an industrial Kuka Manipulator Arm, then watch your code run on real hardware!","en-us"
"nd331","Data Science","Beginner","3 Months","Data Analysis and Visualization with Microsoft Power BI","Data Analysis and Visualization with Microsoft Power BI","Preparing and Modeling Data with Power BI","Preparing and Modeling Data with Power BI","This course is a crucial step in Power BI for anyone who needs to mash together multiple data sources, clean them, restructure them, and harmonize them into a single and efficient data model to support reporting. We’ll cover Power BI’s built-in Extract-Transform-Load (ETL) tool, Power Query, learn foundational data modeling principles, cover some introductory DAX (Data Analytics Expressions), and touch on troubleshooting and optimization.","Relationships and Relationship-Related DAX","Relationships and Relationship-Related DAX","This lesson is all about relationships and filters. We'll cover relationship cardinality and direction, filter direction, implicit DAX, quick measure, and custom DAX functions that rely on filters.","en-us"
"ud282","Programming and Development","","6 Weeks","Intro to Java: Functional Programming","Intro to Java: Functional Programming","Intro to Java: Functional Programming","Intro to Java: Functional Programming","","Loops","Loops","Use for and while loops to iterate over a block of code. Learn how to write nested loops. Use 2D arrays to store and retrieve information.","en-us"
